prey_taxon,prey_stage,prey_kingdom,prey_class,prey_order,prey_family,prey_species,prey_taxon_cleaned,prey_phylum,prey_superclass,prey_subclass,prey_subphylum,prey_type,prey_origin
all sponges,unknown,Metazoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aquatic or terrestrial
aloidis spp,,,,,,,,,,,,,
alosa spp,unknown,Metazoa,Actinopterygii,Clupeiformes,Clupeidae,Alosa sp.,NA,Chordata,NA,NA,NA,NA,aquatic
amphibia,unknown,Animalia,Amphibia,NA,NA,NA,NA,Chordata,NA,NA,NA,NA,aquatic
amphibia anura_probably_rana_rugosa_wrinkled_frog,unknown,Animalia,Amphibia,NA,NA,Rana rugosa,NA,NA,NA,NA,NA,NA,aquatic
ampullariidae,,,,,,,,,,,,,
anax strennus,unknown,Animalia,Insecta,Odonata,Aeshnidae,Anax strennus,NA,Arthropoda,NA,NA,NA,NA,aquatic
anchoa spp,unknown,Metazoa,Actinopterygii,Clupeiformes,Engraulidae,Anchoa sp.,NA,Chordata,NA,NA,NA,NA,aquatic
and eggs,,,,,,,,,,,,,
anguilla rostrata,,,,,,,,,,,,,
animal materials_unknwon,unknown,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aquatic or terrestrial
anisoptera libellulidae,unknown,Animalia,Insecta,Odonata,Libellulidae,NA,NA,Arthropoda,NA,NA,NA,NA,aquatic
annelida lumbricidae_earthworms,unknown,Animalia,Clitellata,Opisthopora,Lumbricidae,NA,NA,Annelida,NA,NA,NA,NA,terrestrial
anomura,,,,,,,,,,,,,
aphodius rufpes_adult,adults,Animalia,Insecta,Coleoptera,Aphodiidae,Aphodius rufpes,NA,Arthropoda,NA,NA,NA,NA,terrestrial
appasus,,,,,,,,,,,,,
aquat cole_optera,unknown,Animalia,Insecta,Coleoptera,NA,NA,NA,Arthropoda,NA,NA,NA,NA,aquatic
aquat coleoptera,unknown,Animalia,Insecta,Coleoptera,NA,NA,NA,Arthropoda,NA,NA,NA,NA,aquatic
aquatic arthropod,unknown,Animalia,NA,NA,NA,NA,NA,Arthropoda,NA,NA,NA,NA,aquatic
aquatic invertabrate,unknown,Animalia,NA,NA,NA,NA,NA,Arthropoda,NA,NA,NA,NA,aquatic
arachnea,unknown,Animalia,Arachnida,NA,NA,NA,NA,Arthropoda,NA,NA,NA,NA,aquatic or terrestrial
arachnida araneae_spiders,unknown,Animalia,Arachnida,Araneae,NA,NA,NA,Arthropoda,NA,NA,NA,NA,terrestrial
arachnida hydracari_acari_water_mites,unknown,Animalia,Arachnida,Trombidiformes,NA,NA,NA,Arthropoda,NA,Acari,NA,NA,aquatic
arachnids water_mites,unknown,Animalia,Arachnida,Trombidiformes,NA,NA,NA,Arthropoda,NA,Acari,NA,NA,aquatic
aracnida,unknown,Animalia,Arachnida,NA,NA,NA,NA,Arthropoda,NA,NA,NA,NA,aquatic or terrestrial
arctocorisa germari,,,,,,,,,,,,,
arhynchobdellida,,,,,,,,,,,,,
aspalachna,unknown,Animalia,Eurotatoria,Ploima,Asplanchnidae,Asplanchna sp.,NA,Rotifera,NA,NA,NA,NA,aquatic
aspatharia sinuata,unknown,Animalia,Bivalvia,Unionida,Mutelidae,NA,NA,Mollusca,NA,NA,NA,NA,aquatic
asplachna sp,unknown,Animalia,Eurotatoria,Ploima,Asplanchnidae,Asplanchna sp.,NA,Rotifera,NA,NA,NA,NA,aquatic
asplanchna priodonta,unknown,Animalia,Eurotatoria,Ploima,Asplanchnidae,Asplanchna priodonta,NA,Rotifera,NA,NA,NA,NA,aquatic
asterionella,,,,,,,,,,,,,
athericidae,,,,,,,,,,,,,
athripsodes aterrimus_larvae,unknown,Animalia,Insecta,Trichoptera,Leptoceridae,Athripsodes aterrimus,NA,Arthropoda,NA,NA,NA,NA,aquatic
b calyciflorus,unknown,Metazoa,Monogononta,Ploima,Brachionidae,Brachionus angularis,NA,Rotifera,NA,NA,NA,NA,aquatic
b diversicornis,unknown,Animalia,Eurotatoria,Ploima,Brachionidae,Brachionus diversicornis,NA,Rotifera,NA,NA,NA,NA,aquatic
b longirostris,unknown,Animalia,Branchiopoda,Cladocera,Bosminidae,Bosmina longirostris,NA,Arthropoda,NA,NA,Crustacea,NA,aquatic
baccilariophyceae,unknown,Chromista,Bacillariophyceae,Bacillariophyceae,Bacillariaceae,NA,NA,Ochrophyta,NA,NA,NA,NA,aquatic
bacillariaceae,unknown,Chromista,Bacillariophyceae,Bacillariophyceae,Bacillariaceae,NA,NA,Ochrophyta,NA,NA,NA,NA,aquatic
bairdiella chrysoura,,,,,,,,,,,,,
bait menhaden_spot_etc,,,,,,,,,,,,,
barbus scale,unknown,Animalia,Actinopterygii,Cypriniformes,Cyprinidae,NA,NA,Chordata,NA,NA,NA,NA,aquatic
benthic diatoms,unknown,Chromista,Bacillariophyceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,aquatic
bivalve larvae,unknown,Animalia,Bivalvia,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,aquatic
bivalve spats,unknown,Animalia,Bivalvia,NA,NA,NA,NA,Mollusca,NA,NA,NA,NA,aquatic
black fly_larvae,larvae,Animalia,Insecta,Diptera,Simuliidae,NA,NA,Arthropoda,NA,NA,NA,NA,aquatic
blue filamentous_algae,unknown,Plantae,NA,NA,NA,NA,Plantae,NA,NA,NA,NA,NA,aquatic
blue green_algae,unknown,Plantae,Cyanophyceae,NA,NA,NA,NA,Cyanobacteria,NA,NA,NA,NA,aquatic
bones,unknown,Animalia,NA,NA,NA,NA,NA,NA,Osteichthyes,NA,NA,NA,aquatic
bones of_fsh,unknown,Animalia,NA,NA,NA,NA,NA,NA,Osteichthyes,NA,NA,NA,aquatic
bosmina hagmani,unknown,Animalia,Branchiopoda,Cladocera,Bosminidae,Bosmina hagmani,NA,Arthropoda,NA,NA,Crustacea,NA,aquatic
bosminidae,unknown,Animalia,Branchiopoda,Cladocera,Bosminidae,NA,NA,Arthropoda,NA,NA,Crustacea,NA,aquatic
bosminopsis deitersi,unknown,Animalia,Branchiopoda,Cladocera,Bosminidae,Bosminopsis deitersi,NA,Arthropoda,NA,NA,Crustacea,NA,aquatic
bosminopsis negrensis,unknown,Animalia,Branchiopoda,Cladocera,Bosminidae,Bosminopsis negrensis,NA,Arthropoda,NA,NA,Crustacea,NA,aquatic
bosminopsis sp,unknown,Animalia,Branchiopoda,Cladocera,Bosminidae,Bosminopsis sp.,NA,Arthropoda,NA,NA,Crustacea,NA,aquatic
brachionus angularis,,,,,,,,,,,,,
brachionus spp,,,,,,,,,,,,,
brachyura,,,,,,,,,,,,,
brachyuralarvae,,,,,,,,,,,,,
brachyuran larvae,,,,,,,,,,,,,
brachyuran megalopa,,,,,,,,,,,,,
brevoortia tyrannus,,,,,,,,,,,,,
brown algae,,,,,,,,,,,,,
brychius spp,,,,,,,,,,,,,
brycinus spp,,,,,,,,,,,,,
bryonensis,,,,,,,,,,,,,
bulinus spp,,,,,,,,,,,,,
bythynia tentaculata,,,,,,,,,,,,,
c carinata,,,,,,,,,,,,,
c nilotica,,,,,,,,,,,,,
c pulchella,,,,,,,,,,,,,
calanoid copepods,,,,,,,,,,,,,
calanold copepods,,,,,,,,,,,,,
callicorixa praeusta,,,,,,,,,,,,,
callinectes sapidus,,,,,,,,,,,,,
callinectes spp,,,,,,,,,,,,,
calopterygidae,,,,,,,,,,,,,
cancer irroratus,,,,,,,,,,,,,
caprella,,,,,,,,,,,,,
carabidae ground_beetles,,,,,,,,,,,,,
caranx spp_juvenile,,,,,,,,,,,,,
carassius auratus,,,,,,,,,,,,,
centrales,,,,,,,,,,,,,
ceratoponidae,,,,,,,,,,,,,
ceriodaphnia cornuta,,,,,,,,,,,,,
ceriodaphnia eggs,,,,,,,,,,,,,
ceriodaphnia pulchella,,,,,,,,,,,,,
ch ironom_id_larvae,,,,,,,,,,,,,
chaetoceros,,,,,,,,,,,,,
channa argus,,,,,,,,,,,,,
chaoborid larvae,,,,,,,,,,,,,
characidae scale,,,,,,,,,,,,,
cheumatopsyche pettiti_hydropsychidae,,,,,,,,,,,,,
chiromonid,,,,,,,,,,,,,
chiron017111s pupae,,,,,,,,,,,,,
chironomidae larvae_and_pupae,,,,,,,,,,,,,
chironomidae larvae_indet,,,,,,,,,,,,,
chironomus anthracinus_larvae,,,,,,,,,,,,,
chironomus sp_larvae,,,,,,,,,,,,,
chironomus sp_pupae,,,,,,,,,,,,,
chironomuslarvae,,,,,,,,,,,,,
chironorniel larvae,,,,,,,,,,,,,
chitinous remains,,,,,,,,,,,,,
chiysicihys sp,,,,,,,,,,,,,
chlaenius yestitus_adult,,,,,,,,,,,,,
chodatella,,,,,,,,,,,,,
chrysichthys spp,,,,,,,,,,,,,
chrysicthys sp,,,,,,,,,,,,,
chtronomus pupae,,,,,,,,,,,,,
chum ground_menhaden,,,,,,,,,,,,,
chydorus sphaericus,,,,,,,,,,,,,
cichlid fry,,,,,,,,,,,,,
cichlids,,,,,,,,,,,,,
ciclopoida,,,,,,,,,,,,,
cilchristella aestuaria,,,,,,,,,,,,,
class bivalvia,,,,,,,,,,,,,
class osteichtyes,,,,,,,,,,,,,
clibernarius africanus,,,,,,,,,,,,,
cloeon,,,,,,,,,,,,,
clupeids,,,,,,,,,,,,,
coarse lit_ter,,,,,,,,,,,,,
coarse litter,,,,,,,,,,,,,
coarse sand,,,,,,,,,,,,,
coarse utter,,,,,,,,,,,,,
coenagrion sp,,,,,,,,,,,,,
coleaptera larvae,,,,,,,,,,,,,
coleoptera imagines,,,,,,,,,,,,,
coleoptera imagines_36,,,,,,,,,,,,,
coleoptera imagines_40,,,,,,,,,,,,,
coleoptera imagines_58,,,,,,,,,,,,,
coleoptera imagines_61,,,,,,,,,,,,,
coleoptera noteridae,,,,,,,,,,,,,
coleopteran larvae,,,,,,,,,,,,,
coleopteras larvae,,,,,,,,,,,,,
coleptera,,,,,,,,,,,,,
copepoda copepodids,,,,,,,,,,,,,
copepodite,,,,,,,,,,,,,
coptomus,,,,,,,,,,,,,
cordulegastridae,,,,,,,,,,,,,
corixa dentipes,,,,,,,,,,,,,
crangon septemspinosa,,,,,,,,,,,,,
cricotopus bicinctus,,,,,,,,,,,,,
cricotopus sp_larvae,,,,,,,,,,,,,
crust acea,,,,,,,,,,,,,
crustacea atyoida_bisulcata_atyidae_shrimps,,,,,,,,,,,,,
crustacean fragment,,,,,,,,,,,,,
crustacean shells,,,,,,,,,,,,,
cultrichthys erythropterus,,,,,,,,,,,,,
cumulative 29,,,,,,,,,,,,,
cumulative 36,,,,,,,,,,,,,
cumulative 39,,,,,,,,,,,,,
cumulative 43,,,,,,,,,,,,,
cumulative 52,,,,,,,,,,,,,
curculionidae,,,,,,,,,,,,,
cyanophytes,,,,,,,,,,,,,
cyclorrapha,,,,,,,,,,,,,
cynoscion regalis,,,,,,,,,,,,,
cyprinodontid,,,,,,,,,,,,,
cyprinodonts,,,,,,,,,,,,,
d iptera,,,,,,,,,,,,,
daphnia cucullata,,,,,,,,,,,,,
daphniidae,,,,,,,,,,,,,
decanoda,,,,,,,,,,,,,
decapoda crayfish,,,,,,,,,,,,,
decapoda craylish,,,,,,,,,,,,,
decaying aquatic_leaves,,,,,,,,,,,,,
desmids,,,,,,,,,,,,,
detritus,,,,,,,,,,,,,
detritus mud,,,,,,,,,,,,,
detritus sediment,,,,,,,,,,,,,
detritusl,,,,,,,,,,,,,
detrius,,,,,,,,,,,,,
diaphanosoma cf_mong,,,,,,,,,,,,,
diaphanosoma cf_mongolianum,,,,,,,,,,,,,
digested material,,,,,,,,,,,,,
dinobryon,,,,,,,,,,,,,
dinoflagelates,,,,,,,,,,,,,
dinoflagellates,,,,,,,,,,,,,
diplopoda milipedes,,,,,,,,,,,,,
diptera 29,,,,,,,,,,,,,
diptera 43,,,,,,,,,,,,,
diptera adult_indet,,,,,,,,,,,,,
diptera imagines,,,,,,,,,,,,,
diptera larvae_and_pupae,,,,,,,,,,,,,
diptera larvae_indet,,,,,,,,,,,,,
diptera mosquito_larvae,,,,,,,,,,,,,
diptera winged_forms,,,,,,,,,,,,,
diptera with_cocoon,,,,,,,,,,,,,
dipterous larvae,,,,,,,,,,,,,
disposed sewage,,,,,,,,,,,,,
dorosoma spp,,,,,,,,,,,,,
dvtiscidae,,,,,,,,,,,,,
e fmbriata,,,,,,,,,,,,,
eggs scales,,,,,,,,,,,,,
eggs unknown,,,,,,,,,,,,,
elateridae click_beetles,,,,,,,,,,,,,
elmidae larvae_and_imagines,,,,,,,,,,,,,
elmidae larvae_imagines,,,,,,,,,,,,,
elopid,,,,,,,,,,,,,
elops spp_juvenile,,,,,,,,,,,,,
ephemerellidae,,,,,,,,,,,,,
ephemeropt era_siphlonuridae,,,,,,,,,,,,,
ephemeroptera imagines,,,,,,,,,,,,,
ephemeroptera ninphae,,,,,,,,,,,,,
ephemeropteran nymphs,,,,,,,,,,,,,
ephemeroptra,,,,,,,,,,,,,
ephippial eggs,,,,,,,,,,,,,
erpobdella octoculata,,,,,,,,,,,,,
eucampia,,,,,,,,,,,,,
eucinostomus argenteus,,,,,,,,,,,,,
euglena sp,,,,,,,,,,,,,
faecal matter,,,,,,,,,,,,,
fiches,,,,,,,,,,,,,
filamentous g_reen_algae,,,,,,,,,,,,,
fine sand,,,,,,,,,,,,,
fish eggs,,,,,,,,,,,,,
fish retnains,,,,,,,,,,,,,
flamentous algae,,,,,,,,,,,,,
formic oidea,,,,,,,,,,,,,
formicoidea,,,,,,,,,,,,,
fru its,,,,,,,,,,,,,
fruit,,,,,,,,,,,,,
fruit flower,,,,,,,,,,,,,
fruits seeds_angyospermae,,,,,,,,,,,,,
fundulus heteroclitus,,,,,,,,,,,,,
g giurus,,,,,,,,,,,,,
g lignorunz,,,,,,,,,,,,,
g melanopterus_juvenile,,,,,,,,,,,,,
ga steropoda,,,,,,,,,,,,,
gammaridea,,,,,,,,,,,,,
garri fibres,,,,,,,,,,,,,
gastropod eggs,,,,,,,,,,,,,
gastropod mainly_neritina_spp,,,,,,,,,,,,,
gastropoda part,,,,,,,,,,,,,
glass,,,,,,,,,,,,,
glaucocystis,,,,,,,,,,,,,
glossogobius callidus,,,,,,,,,,,,,
glossosomatidae,,,,,,,,,,,,,
glypotendipes sp_larvae,,,,,,,,,,,,,
gobiid,,,,,,,,,,,,,
gobiid juvenile,,,,,,,,,,,,,
gobiosoma bosc,,,,,,,,,,,,,
goeridae,,,,,,,,,,,,,
gomphidae nymph,,,,,,,,,,,,,
gonatozygon,,,,,,,,,,,,,
gordius aquaticus,,,,,,,,,,,,,
green filamentous_algae,,,,,,,,,,,,,
gyrosigma,,,,,,,,,,,,,
h orbiculare,,,,,,,,,,,,,
haliplas fulvus_adult,,,,,,,,,,,,,
hemiculter leucisculus,,,,,,,,,,,,,
hemiptera 44,,,,,,,,,,,,,
hemiptera 61,,,,,,,,,,,,,
hemiptera corixidae,,,,,,,,,,,,,
hemiptera fragment,,,,,,,,,,,,,
hemiptera nabis_spp_nabidae_damsel_bugs,,,,,,,,,,,,,
hemiptera water_bugs,,,,,,,,,,,,,
hemipteroidea,,,,,,,,,,,,,
hemipteroidea larvae,,,,,,,,,,,,,
higher plant_fagments,,,,,,,,,,,,,
homoptera oliarus_spp_cixiidae_planthoppers,,,,,,,,,,,,,
hydraenidae fragment,,,,,,,,,,,,,
hydrarachna bicustata,,,,,,,,,,,,,
hydrobiidae,,,,,,,,,,,,,
hydrochoreutes ungulatus,,,,,,,,,,,,,
hydroid polyps,,,,,,,,,,,,,
hydroporus elegans_adult,,,,,,,,,,,,,
hydroptila arctia_hydroptilidae,,,,,,,,,,,,,
hygrobates longipalpis,,,,,,,,,,,,,
hymenoptera ants,,,,,,,,,,,,,
hymenoptera apis_mellifera_apidae_honey_bee,,,,,,,,,,,,,
hymenoptera imagines,,,,,,,,,,,,,
hypsoblennius hentzi,,,,,,,,,,,,,
i sordidus,,,,,,,,,,,,,
iliocryptus sordidus,,,,,,,,,,,,,
ilybius fuliginosus_adult,,,,,,,,,,,,,
ilyocriptus sp,,,,,,,,,,,,,
ilyocryptidae,,,,,,,,,,,,,
ilyocryptus sordidus,,,,,,,,,,,,,
immature cladocera,,,,,,,,,,,,,
immature insect_aquatic,,,,,,,,,,,,,
immature insect_aquatic_1,,,,,,,,,,,,,
immature insect_unknown,,,,,,,,,,,,,
immature insects,,,,,,,,,,,,,
insect eggs,,,,,,,,,,,,,
insect fragment,,,,,,,,,,,,,
insecta eggs,,,,,,,,,,,,,
insecta larvae_nymphs,,,,,,,,,,,,,
insecta unid,,,,,,,,,,,,,
invertebrate egg,,,,,,,,,,,,,
invertebrate eggs,,,,,,,,,,,,,
invertebrate unidentified_larvae,,,,,,,,,,,,,
iphigenia spp,,,,,,,,,,,,,
iphigenia truncata,,,,,,,,,,,,,
ischnura,,,,,,,,,,,,,
isoptera termites,,,,,,,,,,,,,
k quadrata,,,,,,,,,,,,,
keratella cochlearis,,,,,,,,,,,,,
keratella quadrata,,,,,,,,,,,,,
knipowitschia caucasica,,,,,,,,,,,,,
land,,,,,,,,,,,,,
larvae chaoborus,,,,,,,,,,,,,
larvae chaoborus_flavicans,,,,,,,,,,,,,
larvae chironomidae,,,,,,,,,,,,,
larvae trichoptera,,,,,,,,,,,,,
larval fish,,,,,,,,,,,,,
leaves,,,,,,,,,,,,,
lebertia porosa,,,,,,,,,,,,,
leiostomus xanthurus,,,,,,,,,,,,,
lepicioptera larvae,,,,,,,,,,,,,
lepidoptera caterpillars,,,,,,,,,,,,,
leptoceridae sp_larvae,,,,,,,,,,,,,
lestes,,,,,,,,,,,,,
leydigia leydigi,,,,,,,,,,,,,
limnaea pereger,,,,,,,,,,,,,
limnaea truncatula,,,,,,,,,,,,,
limnephilus lunatus_larvae,,,,,,,,,,,,,
limnephilus sp_larvae,,,,,,,,,,,,,
limnia spp,,,,,,,,,,,,,
limonia spp,,,,,,,,,,,,,
linidentified fish,,,,,,,,,,,,,
lironeca ovalis,,,,,,,,,,,,,
lsoptera,,,,,,,,,,,,,
lumbricus terrestris,,,,,,,,,,,,,
lyngbya,,,,,,,,,,,,,
m tuberctdatus,,,,,,,,,,,,,
macrophyte fragments,,,,,,,,,,,,,
macrophyte tissue,,,,,,,,,,,,,
macrothricidae,,,,,,,,,,,,,
macrothrix laticornis,,,,,,,,,,,,,
mastacembelus sinensis,,,,,,,,,,,,,
mastogloia,,,,,,,,,,,,,
mayfly naiads,,,,,,,,,,,,,
megalagrion heterogamias_coenagrionidae_damselflies,,,,,,,,,,,,,
membras martinica,,,,,,,,,,,,,
menidia menidia,,,,,,,,,,,,,
microchaeta,,,,,,,,,,,,,
micropercops swinhonis,,,,,,,,,,,,,
micropogonias undulatus,,,,,,,,,,,,,
micropterus,,,,,,,,,,,,,
microtendipes difinis_larvae,,,,,,,,,,,,,
midge larvae_pupae,,,,,,,,,,,,,
miscellaneous arthropod_parts,,,,,,,,,,,,,
moina minuta,,,,,,,,,,,,,
moina rostrata,,,,,,,,,,,,,
moina sp,,,,,,,,,,,,,
moinidae,,,,,,,,,,,,,
mollusca bivalves,,,,,,,,,,,,,
mollusca errina_aulacospira_lymnaeidae,,,,,,,,,,,,,
mollusca oxychilus_alliarius_garlic_snail,,,,,,,,,,,,,
morone americana,,,,,,,,,,,,,
morone saxatilis,,,,,,,,,,,,,
mosquito pupae,,,,,,,,,,,,,
mosses bryophyta_ectropothecium_sandwichense_hypnaceae,,,,,,,,,,,,,
mud,,,,,,,,,,,,,
mugil curema,,,,,,,,,,,,,
myriapoda,,,,,,,,,,,,,
mysis sp,,,,,,,,,,,,,
mystacides azurea_larvae,,,,,,,,,,,,,
mytilid,,,,,,,,,,,,,
mytilus edulis,,,,,,,,,,,,,
myxus capensis,,,,,,,,,,,,,
naacrophytes,,,,,,,,,,,,,
nematcera,,,,,,,,,,,,,
nemouridae leuctridae,,,,,,,,,,,,,
neomysis americana,,,,,,,,,,,,,
neritina spp,,,,,,,,,,,,,
nitidulidae sap_feeding_beetles,,,,,,,,,,,,,
nitzschia,,,,,,,,,,,,,
nonprey items,,,,,,,,,,,,,
nostoc sp_cyanophyta,,,,,,,,,,,,,
notholca squamula,,,,,,,,,,,,,
notonecitidae,,,,,,,,,,,,,
notonecta glauca,,,,,,,,,,,,,
notonecta sp,,,,,,,,,,,,,
notonectid,,,,,,,,,,,,,
nymphea spp,,,,,,,,,,,,,
nymphs diptera,,,,,,,,,,,,,
nymphs diptera_other,,,,,,,,,,,,,
nymphs ephemeroptera,,,,,,,,,,,,,
nymphs insecta,,,,,,,,,,,,,
nymphs insecta_other,,,,,,,,,,,,,
nymphs odonata,,,,,,,,,,,,,
odonate nymphs,,,,,,,,,,,,,
odontobutis obscurus,,,,,,,,,,,,,
odontoceridae,,,,,,,,,,,,,
oikopleura,,,,,,,,,,,,,
oligocaete worms,,,,,,,,,,,,,
oligochaete worms,,,,,,,,,,,,,
oligochaetes segments,,,,,,,,,,,,,
organic detritus,,,,,,,,,,,,,
organic material,,,,,,,,,,,,,
orthorrapha,,,,,,,,,,,,,
ostracod cypris_larvae,,,,,,,,,,,,,
ostracoda sp,,,,,,,,,,,,,
ostracode shrimps,,,,,,,,,,,,,
other,,,,,,,,,,,,,
other aquatic_fauna,,,,,,,,,,,,,
other arthropod,,,,,,,,,,,,,
other crabs,,,,,,,,,,,,,
other organisms,,,,,,,,,,,,,
other plant_material,,,,,,,,,,,,,
other plant_matter,,,,,,,,,,,,,
other rotifera,,,,,,,,,,,,,
ovalipes ocellatus,,,,,,,,,,,,,
oxyethira maya_hydroptilidae,,,,,,,,,,,,,
p adttsta,,,,,,,,,,,,,
p latipes,,,,,,,,,,,,,
p philander,,,,,,,,,,,,,
p sidneyi,,,,,,,,,,,,,
pachymelania bryonensis,,,,,,,,,,,,,
palaemon capensis,,,,,,,,,,,,,
paleamonetes pugio,,,,,,,,,,,,,
palpomyia,,,,,,,,,,,,,
pant matter,,,,,,,,,,,,,
paper,,,,,,,,,,,,,
paracheilognathus,,,,,,,,,,,,,
paralichthys dentatus,,,,,,,,,,,,,
pelteobagrus fulvidraco,,,,,,,,,,,,,
penaeus setiferus,,,,,,,,,,,,,
penales,,,,,,,,,,,,,
pentaneura larvae,,,,,,,,,,,,,
pentaneura pupae,,,,,,,,,,,,,
peprilus triacanthus,,,,,,,,,,,,,
perciformes,,,,,,,,,,,,,
phaenospectra sergentia_larvae,,,,,,,,,,,,,
philoptamidae,,,,,,,,,,,,,
pholidina spp,,,,,,,,,,,,,
phryganea sp_larvae,,,,,,,,,,,,,
physa fontalis,,,,,,,,,,,,,
piona coccinea,,,,,,,,,,,,,
pisidium sp,,,,,,,,,,,,,
plannrbis contortus,,,,,,,,,,,,,
planorbis albus,,,,,,,,,,,,,
planorbis complanatus,,,,,,,,,,,,,
plant material_terrestrial,,,,,,,,,,,,,
plecoptera imagines,,,,,,,,,,,,,
polichaetatubs,,,,,,,,,,,,,
polyarthra spp,,,,,,,,,,,,,
pomatomus saltatrix,,,,,,,,,,,,,
pompholyx sulcata,,,,,,,,,,,,,
potamonautes sidneyi,,,,,,,,,,,,,
povilla adusta,,,,,,,,,,,,,
povilla adusta_eggs,,,,,,,,,,,,,
prawns,,,,,,,,,,,,,
protista,,,,,,,,,,,,,
pseudorasbora parva,,,,,,,,,,,,,
psycharidae,,,,,,,,,,,,,
pteridophyta,,,,,,,,,,,,,
reduviidae assassin_bugs,,,,,,,,,,,,,
reptilia scincidae_probably_leiolopisma_mettalicum_metallic_skink,,,,,,,,,,,,,
rest of_fishes,,,,,,,,,,,,,
rhinogobius giurinus,,,,,,,,,,,,,
rhizoclonium sp_chlorophyta,,,,,,,,,,,,,
rhodeus sp,,,,,,,,,,,,,
rice,,,,,,,,,,,,,
root leaf_stem_angyospermae,,,,,,,,,,,,,
s mossambicus,,,,,,,,,,,,,
sand,,,,,,,,,,,,,
sand grains,,,,,,,,,,,,,
sapphirina,,,,,,,,,,,,,
sarcocheilichthys,,,,,,,,,,,,,
scale,,,,,,,,,,,,,
scales of_fsh,,,,,,,,,,,,,
scarabaeidae adult,,,,,,,,,,,,,
scarabaeidae lamellicorn_beetles,,,,,,,,,,,,,
scophthalmus aquosus,,,,,,,,,,,,,
sericostomatidae,,,,,,,,,,,,,
setac of_oligochaetes,,,,,,,,,,,,,
shrimp postlarvae,,,,,,,,,,,,,
sididae,,,,,,,,,,,,,
sigara concinna,,,,,,,,,,,,,
sigara distincta,,,,,,,,,,,,,
sigara dorsalis,,,,,,,,,,,,,
sigara falleni,,,,,,,,,,,,,
siniperca chuatsi,,,,,,,,,,,,,
snipe fly_larvae,,,,,,,,,,,,,
sphaeridium scarabeoides_adult,,,,,,,,,,,,,
sphaerium corneum,,,,,,,,,,,,,
sphoeroides maculatus,,,,,,,,,,,,,
sporangium pteridophyta,,,,,,,,,,,,,
squalidus nitens,,,,,,,,,,,,,
squilla empusa,,,,,,,,,,,,,
stalls lutaria_larvae,,,,,,,,,,,,,
stickleback eggs,,,,,,,,,,,,,
stonefly naiads,,,,,,,,,,,,,
stones,,,,,,,,,,,,,
strongylura marina,,,,,,,,,,,,,
symphurus plagiusa,,,,,,,,,,,,,
synociontis sp,,,,,,,,,,,,,
synodus foetens,,,,,,,,,,,,,
t similis,,,,,,,,,,,,,
