"","fish_id","total","citation","author_year_tbl","sample_size","start_date"
"1","0001FHXT0CD8YZXD00R1MAGAW4",200.3,"Richardson, N., Beaudreau, A. H., Wipfli, M. S., & Finkle, H. (2017). Prey partitioning and use of insects by juvenile sockeye salmon and a potential competitor, threespine stickleback, in Afognak Lake, Alaska. Ecology of Freshwater Fish, 26(4), 586-601.","Richardson et al._2017_tbl 2","56","2013-07-23"
"2","0001FHXT0C80ADQVE45MHVDKW5",200.2,"Richardson, N., Beaudreau, A. H., Wipfli, M. S., & Finkle, H. (2017). Prey partitioning and use of insects by juvenile sockeye salmon and a potential competitor, threespine stickleback, in Afognak Lake, Alaska. Ecology of Freshwater Fish, 26(4), 586-601.","Richardson et al._2017_tbl 2","67","2013-07-23"
"3","0001FHXT0C4CBAWPP26W5M5ZGQ",200.1,"Richardson, N., Beaudreau, A. H., Wipfli, M. S., & Finkle, H. (2017). Prey partitioning and use of insects by juvenile sockeye salmon and a potential competitor, threespine stickleback, in Afognak Lake, Alaska. Ecology of Freshwater Fish, 26(4), 586-601.","Richardson et al._2017_tbl 2","17","2013-07-23"
"4","0001FHXT0C0MY829GWC24G5DF9",200,"Richardson, N., Beaudreau, A. H., Wipfli, M. S., & Finkle, H. (2017). Prey partitioning and use of insects by juvenile sockeye salmon and a potential competitor, threespine stickleback, in Afognak Lake, Alaska. Ecology of Freshwater Fish, 26(4), 586-601.","Richardson et al._2017_tbl 2","52","2013-06-28"
"5","0001FHXT0C69RVE17B85G1ZECT",200,"Richardson, N., Beaudreau, A. H., Wipfli, M. S., & Finkle, H. (2017). Prey partitioning and use of insects by juvenile sockeye salmon and a potential competitor, threespine stickleback, in Afognak Lake, Alaska. Ecology of Freshwater Fish, 26(4), 586-601.","Richardson et al._2017_tbl 2","59","2013-06-28"
"6","0001FHXT0CEKEDY9K8ASBRN30T",199.9,"Richardson, N., Beaudreau, A. H., Wipfli, M. S., & Finkle, H. (2017). Prey partitioning and use of insects by juvenile sockeye salmon and a potential competitor, threespine stickleback, in Afognak Lake, Alaska. Ecology of Freshwater Fish, 26(4), 586-601.","Richardson et al._2017_tbl 2","72","2013-05-22"
"7","0001FHXT0CNGZ1W105KHZJQR8V",199.9,"Richardson, N., Beaudreau, A. H., Wipfli, M. S., & Finkle, H. (2017). Prey partitioning and use of insects by juvenile sockeye salmon and a potential competitor, threespine stickleback, in Afognak Lake, Alaska. Ecology of Freshwater Fish, 26(4), 586-601.","Richardson et al._2017_tbl 2","4","2013-06-28"
"8","0001FHXT0CX711BQQWMB8RPMNB",199.6,"Richardson, N., Beaudreau, A. H., Wipfli, M. S., & Finkle, H. (2017). Prey partitioning and use of insects by juvenile sockeye salmon and a potential competitor, threespine stickleback, in Afognak Lake, Alaska. Ecology of Freshwater Fish, 26(4), 586-601.","Richardson et al._2017_tbl 2","12","2013-05-22"
"9","0001FHXT0CPNQ3WTTB37SCCEGA",195.7,"Richardson, N., Beaudreau, A. H., Wipfli, M. S., & Finkle, H. (2017). Prey partitioning and use of insects by juvenile sockeye salmon and a potential competitor, threespine stickleback, in Afognak Lake, Alaska. Ecology of Freshwater Fish, 26(4), 586-601.","Richardson et al._2017_tbl 2","78","2013-05-22"
"10","0001FHXT0QZ326PKW62BRFMT0H",158.02,"Costa, H. H. (1979). The food and feeding chronology of yellow perch (Perca flavescens) in Lake Washington. Internationale Revue der gesamten Hydrobiologie und Hydrographie, 64(6), 783-793.","Costa_1979_tbl 4","8","1973-07-17"
