"fish_id","site_name","type_of_fish","measurement_type","measurement_units","predator_min_length","predator_max_length","predator_average_length","length_units","length_measure","predator_stage","sample_size","start_date","end_date","sampling_interval","habitat","microhabitat","author","year","journal","citation","table_figure","data_sorted_by","sample_id","notes","prey_taxon","measurement","prey_stage"
"0001FFMGGW92W9N3AST82P02DT","Windermere, England","SALMO TRUTTA","relative composition","percent",NA,NA,NA,NA,NA,NA,NA,"1933-11-01","1935-11-01",NA,"lake","no mention","Allen","1938","The Journal of Animal Ecology","Allen, K. R. (1938). Some observations on the biology of the trout (Salmo trutta) in Windermere. The Journal of Animal Ecology, 333-349.","tbl 7","collection month","1","january months","annus","15.1","unknown"
"0001FFMGGWNGZ39N7F4SA28T9Y","Windermere, England","SALMO TRUTTA","relative composition","percent",NA,NA,NA,NA,NA,NA,NA,"1933-11-01","1935-11-01",NA,"lake","no mention","Allen","1938","The Journal of Animal Ecology","Allen, K. R. (1938). Some observations on the biology of the trout (Salmo trutta) in Windermere. The Journal of Animal Ecology, 333-349.","tbl 7","collection month","2","february months","annus","16.100000000000001","unknown"
"0001FFMGGWKN8NYGJMQX8BFZ8A","Windermere, England","SALMO TRUTTA","relative composition","percent",NA,NA,NA,NA,NA,NA,NA,"1933-11-01","1935-11-01",NA,"lake","no mention","Allen","1938","The Journal of Animal Ecology","Allen, K. R. (1938). Some observations on the biology of the trout (Salmo trutta) in Windermere. The Journal of Animal Ecology, 333-349.","tbl 7","collection month","3","march months","annus","1.2","unknown"
"0001FFMGGW25BY8QQ35G3SRVMG","Windermere, England","SALMO TRUTTA","relative composition","percent",NA,NA,NA,NA,NA,NA,NA,"1933-11-01","1935-11-01",NA,"lake","no mention","Allen","1938","The Journal of Animal Ecology","Allen, K. R. (1938). Some observations on the biology of the trout (Salmo trutta) in Windermere. The Journal of Animal Ecology, 333-349.","tbl 7","collection month","4","april months","annus","8.4","unknown"
"0001FFMGGWD9EM7TQXPP5EJXXC","Windermere, England","SALMO TRUTTA","relative composition","percent",NA,NA,NA,NA,NA,NA,NA,"1933-11-01","1935-11-01",NA,"lake","no mention","Allen","1938","The Journal of Animal Ecology","Allen, K. R. (1938). Some observations on the biology of the trout (Salmo trutta) in Windermere. The Journal of Animal Ecology, 333-349.","tbl 7","collection month","5","may months","annus","3.7","unknown"
"0001FFMGGW6FKD2Q86YJM3WR8K","Windermere, England","SALMO TRUTTA","relative composition","percent",NA,NA,NA,NA,NA,NA,NA,"1933-11-01","1935-11-01",NA,"lake","no mention","Allen","1938","The Journal of Animal Ecology","Allen, K. R. (1938). Some observations on the biology of the trout (Salmo trutta) in Windermere. The Journal of Animal Ecology, 333-349.","tbl 7","collection month","6","june months","annus",".","unknown"
"0001FFMGGWNXESFBT68YRDCBV5","Windermere, England","SALMO TRUTTA","relative composition","percent",NA,NA,NA,NA,NA,NA,NA,"1933-11-01","1935-11-01",NA,"lake","no mention","Allen","1938","The Journal of Animal Ecology","Allen, K. R. (1938). Some observations on the biology of the trout (Salmo trutta) in Windermere. The Journal of Animal Ecology, 333-349.","tbl 7","collection month","7","july months","annus","1.2","unknown"
"0001FFMGGWTDQ4JYWKC9CDX5ER","Windermere, England","SALMO TRUTTA","relative composition","percent",NA,NA,NA,NA,NA,NA,NA,"1933-11-01","1935-11-01",NA,"lake","no mention","Allen","1938","The Journal of Animal Ecology","Allen, K. R. (1938). Some observations on the biology of the trout (Salmo trutta) in Windermere. The Journal of Animal Ecology, 333-349.","tbl 7","collection month","8","august months","annus",".","unknown"
"0001FFMGGWKS1RKHP39WXMX7AG","Windermere, England","SALMO TRUTTA","relative composition","percent",NA,NA,NA,NA,NA,NA,NA,"1933-11-01","1935-11-01",NA,"lake","no mention","Allen","1938","The Journal of Animal Ecology","Allen, K. R. (1938). Some observations on the biology of the trout (Salmo trutta) in Windermere. The Journal of Animal Ecology, 333-349.","tbl 7","collection month","9","september months","annus","0.7","unknown"
"0001FFMGGWPS90MM5SAZNB2GS8","Windermere, England","SALMO TRUTTA","relative composition","percent",NA,NA,NA,NA,NA,NA,NA,"1933-11-01","1935-11-01",NA,"lake","no mention","Allen","1938","The Journal of Animal Ecology","Allen, K. R. (1938). Some observations on the biology of the trout (Salmo trutta) in Windermere. The Journal of Animal Ecology, 333-349.","tbl 7","collection month","10","october months","annus","1.4","unknown"
